RegionName,Attribute,Time,electricity,gas,heat,CO2f,wind
Unit,-,Year,PJ,PJ,PJ,kt,PJ
R1,Imports,2010,0,0,0,0,0
R1,Imports,2015,0,0,0,0,0
R1,Imports,2020,0,0,0,0,0
R1,Imports,2025,0,0,0,0,0
R1,Imports,2030,0,0,0,0,0
R1,Imports,2035,0,0,0,0,0
R1,Imports,2040,0,0,0,0,0
R1,Imports,2045,0,0,0,0,0
R1,Imports,2050,0,0,0,0,0
R1,Imports,2055,0,0,0,0,0
R1,Imports,2060,0,0,0,0,0
R1,Imports,2065,0,0,0,0,0
R1,Imports,2070,0,0,0,0,0
R1,Imports,2075,0,0,0,0,0
R1,Imports,2080,0,0,0,0,0
R1,Imports,2085,0,0,0,0,0
R1,Imports,2090,0,0,0,0,0
R1,Imports,2095,0,0,0,0,0
R1,Imports,2100,0,0,0,0,0
