commodity_id,region_id,year,value
electricity,R1,2010,14.81481472
electricity,R1,2015,17.89814806
electricity,R1,2020,19.5
electricity,R1,2025,21.93518528
electricity,R1,2030,26.50925917
electricity,R1,2035,26.51851861
electricity,R1,2040,23.85185194
electricity,R1,2045,23.97222222
electricity,R1,2050,24.06481472
electricity,R1,2055,25.3425925
electricity,R1,2060,25.53703694
electricity,R1,2065,25.32407417
electricity,R1,2070,23.36111111
electricity,R1,2075,22.27777778
electricity,R1,2080,22.25925917
electricity,R1,2085,22.17592583
electricity,R1,2090,22.03703694
electricity,R1,2095,21.94444444
electricity,R1,2100,21.39814806
gas,R1,2010,6.6759
gas,R1,2015,6.914325
gas,R1,2020,7.15275
gas,R1,2025,8.10645
gas,R1,2030,9.06015
gas,R1,2035,9.2191
gas,R1,2040,9.37805
gas,R1,2045,9.193829337
gas,R1,2050,9.009608674
gas,R1,2055,8.832625604
gas,R1,2060,8.655642534
gas,R1,2065,8.485612708
gas,R1,2070,8.315582883
gas,R1,2075,8.152233126
gas,R1,2080,7.988883368
gas,R1,2085,7.831951236
gas,R1,2090,7.675019103
gas,R1,2095,7.524252461
gas,R1,2100,7.373485819
CO2f,R1,2010,0
CO2f,R1,2015,0.052913851
CO2f,R1,2020,0.08314119
CO2f,R1,2025,0.120069795
CO2f,R1,2030,0.156998399
CO2f,R1,2035,0.214877567
CO2f,R1,2040,0.272756734
CO2f,R1,2045,0.35394801
CO2f,R1,2050,0.435139285
CO2f,R1,2055,0.542365578
CO2f,R1,2060,0.649591871
CO2f,R1,2065,0.780892624
CO2f,R1,2070,0.912193378
CO2f,R1,2075,1.078321687
CO2f,R1,2080,1.244449995
CO2f,R1,2085,1.4253503
CO2f,R1,2090,1.606250604
CO2f,R1,2095,1.73877515
CO2f,R1,2100,1.871299697
