,agent,capacity,dst_region,index,installed,region,sector,technology,type,year
4,A1,10.00000000000,R1,0,2020,R1,residential,gasboiler,retrofit,2020
15,A1,10.00000000000,R2,0,2020,R2,residential,gasboiler,retrofit,2020
26,A2,10.00000000000,R1,0,2020,R1,residential,gasboiler,retrofit,2020
37,A2,10.00000000000,R2,0,2020,R2,residential,gasboiler,retrofit,2020
0,A1,120.00000000000,R1,0,2010,R1,power,gasCCGT,agent,2020
7,A1,100.00000000000,R2,7,2010,R2,power,gasCCGT,agent,2020
14,A2,120.00000000000,R1,0,2010,R1,power,gasCCGT,agent,2020
21,A2,100.00000000000,R2,7,2010,R2,power,gasCCGT,agent,2020
2,A1,15.00000000000,R1,0,2020,R1,gas,gassupply1,retrofit,2020
12,A1,15.00000000000,R2,0,2020,R2,gas,gassupply1,retrofit,2020
22,A2,15.00000000000,R1,0,2020,R1,gas,gassupply1,retrofit,2020
32,A2,15.00000000000,R2,0,2020,R2,gas,gassupply1,retrofit,2020
0,A1,5.00000000000,R1,0,2020,R1,residential,gasboiler,retrofit,2025
3,A1,14.00000000000,R1,8,2020,R1,residential,heatpump,retrofit,2025
10,A1,5.00000000000,R2,0,2020,R2,residential,gasboiler,retrofit,2025
13,A1,14.00000000000,R2,8,2020,R2,residential,heatpump,retrofit,2025
20,A2,5.00000000000,R1,0,2020,R1,residential,gasboiler,retrofit,2025
23,A2,14.00000000000,R1,8,2020,R1,residential,heatpump,retrofit,2025
30,A2,5.00000000000,R2,0,2020,R2,residential,gasboiler,retrofit,2025
33,A2,14.00000000000,R2,8,2020,R2,residential,heatpump,retrofit,2025
0,A1,96.00000000000,R1,0,2010,R1,power,gasCCGT,agent,2025
6,A1,70.00000000000,R2,6,2010,R2,power,gasCCGT,agent,2025
12,A2,96.00000000000,R1,0,2010,R1,power,gasCCGT,agent,2025
18,A2,70.00000000000,R2,6,2010,R2,power,gasCCGT,agent,2025
0,A1,67.02670000000,R1,0,2020,R1,gas,gassupply1,retrofit,2025
7,A1,67.02670000000,R2,0,2020,R2,gas,gassupply1,retrofit,2025
14,A2,67.02670000000,R1,0,2020,R1,gas,gassupply1,retrofit,2025
21,A2,67.02670000000,R2,0,2020,R2,gas,gassupply1,retrofit,2025
10,A1,14.00000000000,R1,16,2020,R1,residential,heatpump,retrofit,2030
11,A1,2.00000000000,R1,17,2025,R1,residential,heatpump,retrofit,2030
30,A1,14.00000000000,R2,16,2020,R2,residential,heatpump,retrofit,2030
31,A1,2.00000000000,R2,17,2025,R2,residential,heatpump,retrofit,2030
50,A2,14.00000000000,R1,16,2020,R1,residential,heatpump,retrofit,2030
51,A2,2.00000000000,R1,17,2025,R1,residential,heatpump,retrofit,2030
70,A2,14.00000000000,R2,16,2020,R2,residential,heatpump,retrofit,2030
71,A2,2.00000000000,R2,17,2025,R2,residential,heatpump,retrofit,2030
0,A1,76.80000000000,R1,0,2010,R1,power,gasCCGT,agent,2030
5,A1,49.00000000000,R2,5,2010,R2,power,gasCCGT,agent,2030
10,A2,76.80000000000,R1,0,2010,R1,power,gasCCGT,agent,2030
15,A2,49.00000000000,R2,5,2010,R2,power,gasCCGT,agent,2030
2,A1,59.52670000000,R1,0,2020,R1,gas,gassupply1,retrofit,2030
17,A1,59.52670000000,R2,0,2020,R2,gas,gassupply1,retrofit,2030
32,A2,59.52670000000,R1,0,2020,R1,gas,gassupply1,retrofit,2030
47,A2,59.52670000000,R2,0,2020,R2,gas,gassupply1,retrofit,2030
4,A1,2.00000000000,R1,6,2025,R1,residential,heatpump,retrofit,2035
5,A1,32.00000000000,R1,7,2030,R1,residential,heatpump,retrofit,2035
14,A1,2.00000000000,R2,6,2025,R2,residential,heatpump,retrofit,2035
15,A1,32.00000000000,R2,7,2030,R2,residential,heatpump,retrofit,2035
24,A2,2.00000000000,R1,6,2025,R1,residential,heatpump,retrofit,2035
25,A2,32.00000000000,R1,7,2030,R1,residential,heatpump,retrofit,2035
34,A2,2.00000000000,R2,6,2025,R2,residential,heatpump,retrofit,2035
35,A2,32.00000000000,R2,7,2030,R2,residential,heatpump,retrofit,2035
0,A1,61.44000000000,R1,0,2010,R1,power,gasCCGT,agent,2035
4,A1,34.30000000000,R2,4,2010,R2,power,gasCCGT,agent,2035
8,A2,61.44000000000,R1,0,2010,R1,power,gasCCGT,agent,2035
12,A2,34.30000000000,R2,4,2010,R2,power,gasCCGT,agent,2035
0,A1,52.02670000000,R1,0,2020,R1,gas,gassupply1,retrofit,2035
1,A1,24.20270000000,R1,1,2030,R1,gas,gassupply1,retrofit,2035
12,A1,52.02670000000,R2,0,2020,R2,gas,gassupply1,retrofit,2035
13,A1,24.20270000000,R2,1,2030,R2,gas,gassupply1,retrofit,2035
24,A2,52.02670000000,R1,0,2020,R1,gas,gassupply1,retrofit,2035
25,A2,24.20270000000,R1,1,2030,R1,gas,gassupply1,retrofit,2035
36,A2,52.02670000000,R2,0,2020,R2,gas,gassupply1,retrofit,2035
37,A2,24.20270000000,R2,1,2030,R2,gas,gassupply1,retrofit,2035
