ProcessName,RegionName,Parameter,R1,R2
gassupply1,R1,cap_par,3,98.013
gassupply1,R2,cap_par,7.8406,5
gassupply1,R1,cap_exp,1,1
gassupply1,R2,cap_exp,1,1
gassupply1,R1,fix_par,0.3,0.98013
gassupply1,R2,fix_par,0.78406,0.5
gassupply1,R1,fix_exp,1,1
gassupply1,R2,fix_exp,1,1
gassupply1,R1,MaxCapacityAddition,200,0
gassupply1,R2,MaxCapacityAddition,0,200
gassupply1,R1,MaxCapacityGrowth,1,0
gassupply1,R2,MaxCapacityGrowth,0,1
gassupply1,R1,TotalCapacityLimit,3937.219,0
gassupply1,R2,TotalCapacityLimit,0,3937.219
