,asset,year,technology,region,installed,capacity
0,0,2030,gasboiler,R1,2025,2.20000000000
1,0,2034,gasboiler,R1,2025,2.20000000000
2,0,2035,gasboiler,R1,2025,2.20000000000
3,0,2039,gasboiler,R1,2025,2.20000000000
8,1,2030,gasboiler,R2,2025,2.20000000000
9,1,2034,gasboiler,R2,2025,2.20000000000
10,1,2035,gasboiler,R2,2025,2.20000000000
11,1,2039,gasboiler,R2,2025,2.20000000000
16,2,2030,heatpump,R1,2020,19.00000000000
17,2,2034,heatpump,R1,2020,19.00000000000
24,3,2030,heatpump,R1,2025,8.80000000000
25,3,2034,heatpump,R1,2025,8.80000000000
26,3,2035,heatpump,R1,2025,8.80000000000
27,3,2039,heatpump,R1,2025,8.80000000000
34,4,2035,heatpump,R1,2030,25.00000000000
35,4,2039,heatpump,R1,2030,25.00000000000
36,4,2040,heatpump,R1,2030,25.00000000000
37,4,2044,heatpump,R1,2030,25.00000000000
40,5,2030,heatpump,R2,2020,19.00000000000
41,5,2034,heatpump,R2,2020,19.00000000000
48,6,2030,heatpump,R2,2025,8.80000000000
49,6,2034,heatpump,R2,2025,8.80000000000
50,6,2035,heatpump,R2,2025,8.80000000000
51,6,2039,heatpump,R2,2025,8.80000000000
58,7,2035,heatpump,R2,2030,25.00000000000
59,7,2039,heatpump,R2,2030,25.00000000000
60,7,2040,heatpump,R2,2030,25.00000000000
61,7,2044,heatpump,R2,2030,25.00000000000
