ProcessName,RegionName,Parameter,Unit,R1,R2
gasCCGT,R1,cap_par,MUSD/PJ,28.29,56.58
windturbine,R1,cap_par,MUSD/PJ,43.2,0
gasCCGT,R2,cap_par,MUSD/PJ,57.08,28.54
windturbine,R2,cap_par,MUSD/PJ,0,43.57
gasCCGT,R1,fix_par,MUSD/PJ,2.829,5.658
windturbine,R1,fix_par,MUSD/PJ,0,0
gasCCGT,R2,fix_par,MUSD/PJ,5.708,2.854
windturbine,R2,fix_par,MUSD/PJ,0,0
gasCCGT,R1,MaxCapacityAddition,PJ/y,393.72188,0
windturbine,R1,MaxCapacityAddition,PJ/y,393.72188,0
gasCCGT,R2,MaxCapacityAddition,PJ/y,0,393.72188
windturbine,R2,MaxCapacityAddition,PJ/y,0,393.72188
gasCCGT,R1,MaxCapacityGrowth,PJ/y,0.05,0.05
windturbine,R1,MaxCapacityGrowth,PJ/y,0.05,0
gasCCGT,R2,MaxCapacityGrowth,PJ/y,0.05,0.05
windturbine,R2,MaxCapacityGrowth,PJ/y,0,0.05
gasCCGT,R1,TotalCapacityLimit,PJ/y,3937.2188,0
windturbine,R1,TotalCapacityLimit,PJ/y,3937.2188,0
gasCCGT,R2,TotalCapacityLimit,PJ/y,0,3937.2188
windturbine,R2,TotalCapacityLimit,PJ/y,0,3937.2188
