ProcessName,RegionName,Time,ObjSort,month,day,hour,UtilizationFactor
Unit,-,Year,-,-,-,-,-
gasCCGT,R1,2020,upper,all-year,all-week,night,0.9
gasCCGT,R1,2020,upper,all-year,all-week,morning,0.9
gasCCGT,R1,2020,upper,all-year,all-week,afternoon,0.9
gasCCGT,R1,2020,upper,all-year,all-week,early-peak,0.9
gasCCGT,R1,2020,upper,all-year,all-week,late-peak,0.9
gasCCGT,R1,2020,upper,all-year,all-week,evening,0.9
windturbine,R1,2020,upper,all-year,all-week,night,0.9
windturbine,R1,2020,upper,all-year,all-week,morning,0.9
windturbine,R1,2020,upper,all-year,all-week,afternoon,0.9
windturbine,R1,2020,upper,all-year,all-week,early-peak,0.9
windturbine,R1,2020,upper,all-year,all-week,late-peak,0.9
windturbine,R1,2020,upper,all-year,all-week,evening,0.9
