technology,region,year,month,day,hour,utilization_factor,minimum_service_factor
gasCCGT,R1,2020,all-year,all-week,night,1,0.2
gasCCGT,R1,2020,all-year,all-week,morning,1,0.4
gasCCGT,R1,2020,all-year,all-week,afternoon,1,0.6
gasCCGT,R1,2020,all-year,all-week,early-peak,1,0.4
gasCCGT,R1,2020,all-year,all-week,late-peak,1,0.8
gasCCGT,R1,2020,all-year,all-week,evening,1,1.0
windturbine,R1,2020,all-year,all-week,night,1,0.0
windturbine,R1,2020,all-year,all-week,morning,1,0.0
windturbine,R1,2020,all-year,all-week,afternoon,1,0.0
windturbine,R1,2020,all-year,all-week,early-peak,1,0.0
windturbine,R1,2020,all-year,all-week,late-peak,1,0.0
windturbine,R1,2020,all-year,all-week,evening,1,0.0
