,RegionName,ProcessName,Timeslice,electricity,gas,heat,CO2f,wind,cook
0,R1,gasboiler,1,0,0,3,0,0,0
1,R1,gasboiler,2,0,0,4.5,0,0,0
2,R1,gasboiler,3,0,0,3,0,0,0
3,R1,gasboiler,4,0,0,4.5,0,0,0
4,R1,gasboiler,5,0,0,9,0,0,0
5,R1,gasboiler,6,0,0,6,0,0,0
6,R1,gasboiler,7,0,0,5,0,0,0
7,R1,gasboiler,8,0,0,5,0,0,0
8,R2,gasboiler,1,0,0,3,0,0,0
9,R2,gasboiler,2,0,0,4.5,0,0,0
10,R2,gasboiler,3,0,0,3,0,0,0
11,R2,gasboiler,4,0,0,4.5,0,0,0
12,R2,gasboiler,5,0,0,9,0,0,0
13,R2,gasboiler,6,0,0,6,0,0,0
14,R2,gasboiler,7,0,0,5,0,0,0
15,R2,gasboiler,8,0,0,5,0,0,0
16,R1,electric_stove,1,0,0,0,0,0,2
17,R1,electric_stove,2,0,0,0,0,0,3
18,R1,electric_stove,3,0,0,0,0,0,2.5
19,R1,electric_stove,4,0,0,0,0,0,4
20,R1,electric_stove,5,0,0,0,0,0,6
21,R1,electric_stove,6,0,0,0,0,0,7
22,R1,electric_stove,7,0,0,0,0,0,4
23,R1,electric_stove,8,0,0,0,0,0,4
24,R2,electric_stove,1,0,0,0,0,0,2
25,R2,electric_stove,2,0,0,0,0,0,3
26,R2,electric_stove,3,0,0,0,0,0,3
27,R2,electric_stove,4,0,0,0,0,0,4
28,R2,electric_stove,5,0,0,0,0,0,4
29,R2,electric_stove,6,0,0,0,0,0,2
30,R2,electric_stove,7,0,0,0,0,0,1
31,R2,electric_stove,8,0,0,0,0,0,2
