,agent,capacity,dst_region,index,installed,region,sector,technology,type,year
4,A1,10.00000000000,R1,0,2020,R1,residential,gasboiler,retrofit,2020
15,A1,10.00000000000,R2,0,2020,R2,residential,gasboiler,retrofit,2020
26,A2,10.00000000000,R1,0,2020,R1,residential,gasboiler,retrofit,2020
37,A2,10.00000000000,R2,0,2020,R2,residential,gasboiler,retrofit,2020
0,A1,10.00000000000,R1,0,2010,R1,power,gasCCGT,agent,2020
3,A1,10.00000000000,R2,8,2010,R2,power,gasCCGT,agent,2020
6,A2,10.00000000000,R1,0,2010,R1,power,gasCCGT,agent,2020
9,A2,10.00000000000,R2,8,2010,R2,power,gasCCGT,agent,2020
2,A1,15.00000000000,R1,0,2020,R1,gas,gassupply1,retrofit,2020
12,A1,15.00000000000,R2,0,2020,R2,gas,gassupply1,retrofit,2020
22,A2,15.00000000000,R1,0,2020,R1,gas,gassupply1,retrofit,2020
32,A2,15.00000000000,R2,0,2020,R2,gas,gassupply1,retrofit,2020
0,A1,300.00000000000,R1,0,2020,R1,residential,gasboiler,retrofit,2025
3,A1,300.00000000000,R1,7,2020,R1,residential,heatpump,retrofit,2025
6,A1,300.00000000000,R2,0,2020,R2,residential,gasboiler,retrofit,2025
9,A1,300.00000000000,R2,7,2020,R2,residential,heatpump,retrofit,2025
12,A2,300.00000000000,R1,0,2020,R1,residential,gasboiler,retrofit,2025
15,A2,300.00000000000,R1,7,2020,R1,residential,heatpump,retrofit,2025
18,A2,300.00000000000,R2,0,2020,R2,residential,gasboiler,retrofit,2025
21,A2,300.00000000000,R2,7,2020,R2,residential,heatpump,retrofit,2025
0,A1,5.00000000000,R1,0,2010,R1,power,gasCCGT,agent,2025
2,A1,5.00000000000,R2,7,2010,R2,power,gasCCGT,agent,2025
4,A2,5.00000000000,R1,0,2010,R1,power,gasCCGT,agent,2025
6,A2,5.00000000000,R2,9,2010,R2,power,gasCCGT,agent,2025
0,A1,300.00000000000,R1,0,2020,R1,gas,gassupply1,retrofit,2025
7,A1,300.00000000000,R2,0,2020,R2,gas,gassupply1,retrofit,2025
14,A2,300.00000000000,R1,0,2020,R1,gas,gassupply1,retrofit,2025
21,A2,300.00000000000,R2,0,2020,R2,gas,gassupply1,retrofit,2025
