ProcessName,RegionName,Parameter,Unit,R1,R2,R3
gasCCGT,R1,cap_par,MUSD/PJ,28.29,56.58,56.58
windturbine,R1,cap_par,MUSD/PJ,43.2,0,0
gasCCGT,R2,cap_par,MUSD/PJ,57.08,28.54,57.08
windturbine,R2,cap_par,MUSD/PJ,0,43.57,0
gasCCGT,R3,cap_par,MUSD/PJ,47.56,47.56,23.78
windturbine,R3,cap_par,MUSD/PJ,0,0,36.31
gasCCGT,R1,fix_par,MUSD/PJ,2.829,5.658,5.658
windturbine,R1,fix_par,MUSD/PJ,0,0,0
gasCCGT,R2,fix_par,MUSD/PJ,5.708,2.854,5.708
windturbine,R2,fix_par,MUSD/PJ,0,0,0
gasCCGT,R3,fix_par,MUSD/PJ,4.756,4.756,2.378
windturbine,R3,fix_par,MUSD/PJ,0,0,0
gasCCGT,R1,MaxCapacityAddition,PJ/y,393.72188,0,19.686094
windturbine,R1,MaxCapacityAddition,PJ/y,393.72188,0,0
gasCCGT,R2,MaxCapacityAddition,PJ/y,0,393.72188,19.686094
windturbine,R2,MaxCapacityAddition,PJ/y,0,393.72188,0
gasCCGT,R3,MaxCapacityAddition,PJ/y,19.686094,19.686094,393.72188
windturbine,R3,MaxCapacityAddition,PJ/y,0,0,393.72188
gasCCGT,R1,MaxCapacityGrowth,PJ/y,0.05,0.05,0.05
windturbine,R1,MaxCapacityGrowth,PJ/y,0.05,0,0
gasCCGT,R2,MaxCapacityGrowth,PJ/y,0.05,0.05,0.05
windturbine,R2,MaxCapacityGrowth,PJ/y,0,0.05,0
gasCCGT,R3,MaxCapacityGrowth,PJ/y,0.05,0.05,0.05
windturbine,R3,MaxCapacityGrowth,PJ/y,0,0,0.05
gasCCGT,R1,TotalCapacityLimit,PJ/y,3937.2188,0,393.72188
windturbine,R1,TotalCapacityLimit,PJ/y,3937.2188,0,0
gasCCGT,R2,TotalCapacityLimit,PJ/y,0,3937.2188,393.72188
windturbine,R2,TotalCapacityLimit,PJ/y,0,3937.2188,0
gasCCGT,R3,TotalCapacityLimit,PJ/y,393.72188,393.72188,3937.2188
windturbine,R3,TotalCapacityLimit,PJ/y,0,0,3937.2188
