agent,capacity,dst_region,index,installed,region,sector,technology,type,year
A1,10.00000000000,R1,0,2020,R1,residential,gasboiler,retrofit,2020
A1,1.00000000000,R1,0,2020,R1,power,gasCCGT,retrofit,2020
A1,15.00000000000,R1,0,2020,R1,gas,gassupply1,retrofit,2020
A1,5.00000000000,R1,0,2020,R1,residential,gasboiler,retrofit,2025
A1,19.00000000000,R1,16,2020,R1,residential,heatpump,retrofit,2025
A1,1.25560000000,R1,0,2020,R1,power,gasCCGT,retrofit,2025
A1,0.84440000000,R1,26,2020,R1,power,windturbine,retrofit,2025
A1,18.27480000000,R1,0,2020,R1,gas,gassupply1,retrofit,2025
A1,4.10000000000,R1,0,2025,R1,residential,gasboiler,retrofit,2030
A1,19.00000000000,R1,8,2020,R1,residential,heatpump,retrofit,2030
A1,6.90000000000,R1,9,2025,R1,residential,heatpump,retrofit,2030
A1,0.25560000000,R1,0,2020,R1,power,gasCCGT,retrofit,2030
A1,0.39220000000,R1,1,2025,R1,power,gasCCGT,retrofit,2030
A1,0.84440000000,R1,42,2020,R1,power,windturbine,retrofit,2030
A1,1.15110000000,R1,43,2025,R1,power,windturbine,retrofit,2030
A1,10.77480000000,R1,0,2020,R1,gas,gassupply1,retrofit,2030
A1,0.27920000000,R1,1,2025,R1,gas,gassupply1,retrofit,2030
A1,4.10000000000,R1,0,2025,R1,residential,gasboiler,retrofit,2035
A1,6.90000000000,R1,14,2025,R1,residential,heatpump,retrofit,2035
A1,25.00000000000,R1,15,2030,R1,residential,heatpump,retrofit,2035
A1,0.25560000000,R1,0,2020,R1,power,gasCCGT,retrofit,2035
A1,0.39220000000,R1,1,2025,R1,power,gasCCGT,retrofit,2035
A1,0.26830000000,R1,2,2030,R1,power,gasCCGT,retrofit,2035
A1,0.84440000000,R1,39,2020,R1,power,windturbine,retrofit,2035
A1,1.15110000000,R1,40,2025,R1,power,windturbine,retrofit,2035
A1,1.41780000000,R1,41,2030,R1,power,windturbine,retrofit,2035
A1,3.27480000000,R1,0,2020,R1,gas,gassupply1,retrofit,2035
A1,0.27920000000,R1,1,2025,R1,gas,gassupply1,retrofit,2035
A1,10.48740000000,R1,2,2030,R1,gas,gassupply1,retrofit,2035
A1,0.91000000000,R1,0,2035,R1,residential,gasboiler,retrofit,2040
A1,25.00000000000,R1,7,2030,R1,residential,heatpump,retrofit,2040
A1,16.09000000000,R1,8,2035,R1,residential,heatpump,retrofit,2040
A1,0.25560000000,R1,0,2020,R1,power,gasCCGT,retrofit,2040
A1,0.39220000000,R1,1,2025,R1,power,gasCCGT,retrofit,2040
A1,0.26830000000,R1,2,2030,R1,power,gasCCGT,retrofit,2040
A1,0.20420000000,R1,3,2035,R1,power,gasCCGT,retrofit,2040
A1,0.84440000000,R1,56,2020,R1,power,windturbine,retrofit,2040
