|ProcessName|RegionName|Time|Parameter|Unit|R1|R2|
|-|-|-|-|-|-|-|
|gasCCGT|R1|2020|cap_par|MUSD/PJ|18.29|56.58|
|windturbine|R1|2020|cap_par|MUSD/PJ|33.2|40|
|solarPV|R1|2020|cap_par|MUSD/PJ|33.2|40|
|gasCCGT|R2|2020|cap_par|MUSD/PJ|47.08|28.54|
|windturbine|R2|2020|cap_par|MUSD/PJ|30|43.57|
|solarPV|R2|2020|cap_par|MUSD/PJ|30|43.57|
|...|...|...|...|...|...|...|
|gasCCGT|R1|2040|TotalCapacityLimit|PJ/y|40000|40000|
|windturbine|R1|2040|TotalCapacityLimit|PJ/y|40000|40000|
|solarPV|R1|2040|TotalCapacityLimit|PJ/y|40000|40000|
|gasCCGT|R2|2040|TotalCapacityLimit|PJ/y|40000|40000|
|windturbine|R2|2040|TotalCapacityLimit|PJ/y|40000|40000|
|solarPV|R2|2040|TotalCapacityLimit|PJ/y|40000|40000|
