ProcessName,RegionName,Time,Parameter,Unit,R1,R2
gasCCGT,R1,2020,cap_par,MUSD/PJ,18.29,23.777
windturbine,R1,2020,cap_par,MUSD/PJ,33.2,40
solarPV,R1,2020,cap_par,MUSD/PJ,33.2,40
gasCCGT,R2,2020,cap_par,MUSD/PJ,25.606,28.54
windturbine,R2,2020,cap_par,MUSD/PJ,46.48,29.54
solarPV,R2,2020,cap_par,MUSD/PJ,46.48,30.54
gasCCGT,R1,2020,fix_par,MUSD/PJ,1.829,2.3777
windturbine,R1,2020,fix_par,MUSD/PJ,3.32,4
solarPV,R1,2020,fix_par,MUSD/PJ,3.32,4
gasCCGT,R2,2020,fix_par,MUSD/PJ,2.5606,2.854
windturbine,R2,2020,fix_par,MUSD/PJ,4.648,2.954
solarPV,R2,2020,fix_par,MUSD/PJ,4.648,3.054
gasCCGT,R1,2020,var_par,MUSD/PJ,0,0
windturbine,R1,2020,var_par,MUSD/PJ,0,0
solarPV,R1,2020,var_par,MUSD/PJ,0,0
gasCCGT,R2,2020,var_par,MUSD/PJ,0,0
windturbine,R2,2020,var_par,MUSD/PJ,0,0
solarPV,R2,2020,var_par,MUSD/PJ,0,0
gasCCGT,R1,2020,MaxCapacityAddition,PJ/y,4,4
windturbine,R1,2020,MaxCapacityAddition,PJ/y,4,4
solarPV,R1,2020,MaxCapacityAddition,PJ/y,4,4
gasCCGT,R2,2020,MaxCapacityAddition,PJ/y,0,1
windturbine,R2,2020,MaxCapacityAddition,PJ/y,0,1
solarPV,R2,2020,MaxCapacityAddition,PJ/y,0,1
gasCCGT,R1,2020,MaxCapacityGrowth,-,0.5,0.5
windturbine,R1,2020,MaxCapacityGrowth,-,0.5,0.5
solarPV,R1,2020,MaxCapacityGrowth,-,0.5,0.5
gasCCGT,R2,2020,MaxCapacityGrowth,-,0,0.02
windturbine,R2,2020,MaxCapacityGrowth,-,0,0.02
solarPV,R2,2020,MaxCapacityGrowth,-,0,0.02
gasCCGT,R1,2020,TotalCapacityLimit,PJ/y,60,60
windturbine,R1,2020,TotalCapacityLimit,PJ/y,60,60
solarPV,R1,2020,TotalCapacityLimit,PJ/y,60,60
gasCCGT,R2,2020,TotalCapacityLimit,PJ/y,0,60
windturbine,R2,2020,TotalCapacityLimit,PJ/y,0,60
solarPV,R2,2020,TotalCapacityLimit,PJ/y,0,60
