agent,capacity,dst_region,installed,region,sector,technology,type,year
A1,10.00000000000,R1,2020,R1,residential,gasboiler,newcapa,2020
A1,1.00000000000,R1,2020,R1,power,gasCCGT,newcapa,2020
A1,15.00000000000,R1,2020,R1,gas,gassupply1,newcapa,2020
A1,5.00000000000,R1,2020,R1,residential,gasboiler,newcapa,2025
A1,19.00000000000,R1,2020,R1,residential,heatpump,newcapa,2025
A1,1.40740000000,R1,2020,R1,power,gasCCGT,newcapa,2025
A1,15.00000000000,R1,2020,R1,gas,gassupply1,newcapa,2025
A1,19.00000000000,R1,2020,R1,residential,heatpump,newcapa,2030
A1,10.00000000000,R1,2025,R1,residential,heatpump,newcapa,2030
A1,0.40740000000,R1,2020,R1,power,gasCCGT,newcapa,2030
A1,1.74070000000,R1,2025,R1,power,gasCCGT,newcapa,2030
A1,7.50000000000,R1,2020,R1,gas,gassupply1,newcapa,2030
A1,10.00000000000,R1,2025,R1,residential,heatpump,newcapa,2035
A1,26.00000000000,R1,2030,R1,residential,heatpump,newcapa,2035
A1,0.40740000000,R1,2020,R1,power,gasCCGT,newcapa,2035
A1,1.74070000000,R1,2025,R1,power,gasCCGT,newcapa,2035
A1,1.16670000000,R1,2030,R1,power,solarPV,newcapa,2035
A1,0.59790000000,R1,2030,R1,gas,gassupply1,newcapa,2035
A1,26.00000000000,R1,2030,R1,residential,heatpump,newcapa,2040
A1,16.00000000000,R1,2035,R1,residential,heatpump,newcapa,2040
A1,0.40740000000,R1,2020,R1,power,gasCCGT,newcapa,2040
A1,1.74070000000,R1,2025,R1,power,gasCCGT,newcapa,2040
A1,1.16670000000,R1,2030,R1,power,solarPV,newcapa,2040
A1,1.00000000000,R1,2035,R1,power,solarPV,newcapa,2040
A1,0.59790000000,R1,2030,R1,gas,gassupply1,newcapa,2040
A1,16.00000000000,R1,2035,R1,residential,heatpump,newcapa,2045
A1,32.00000000000,R1,2040,R1,residential,heatpump,newcapa,2045
A1,0.40740000000,R1,2020,R1,power,gasCCGT,newcapa,2045
A1,1.74070000000,R1,2025,R1,power,gasCCGT,newcapa,2045
A1,1.16670000000,R1,2030,R1,power,solarPV,newcapa,2045
A1,1.00000000000,R1,2035,R1,power,solarPV,newcapa,2045
A1,1.00000000000,R1,2040,R1,power,solarPV,newcapa,2045
A1,0.59790000000,R1,2030,R1,gas,gassupply1,newcapa,2045
A1,32.00000000000,R1,2040,R1,residential,heatpump,newcapa,2050
A1,22.00000000000,R1,2045,R1,residential,heatpump,newcapa,2050
A1,0.40740000000,R1,2020,R1,power,gasCCGT,newcapa,2050
A1,1.74070000000,R1,2025,R1,power,gasCCGT,newcapa,2050
A1,1.16670000000,R1,2030,R1,power,solarPV,newcapa,2050
A1,1.00000000000,R1,2035,R1,power,solarPV,newcapa,2050
A1,1.00000000000,R1,2040,R1,power,solarPV,newcapa,2050
A1,1.00000000000,R1,2045,R1,power,solarPV,newcapa,2050
A1,0.59790000000,R1,2030,R1,gas,gassupply1,newcapa,2050
