,RegionName,ProcessName,Timeslice,electricity,gas,CO2f,wind,heat
0,R1,gasboiler,1,0,0,0,0,257
1,R1,gasboiler,2,0,0,0,0,154
2,R1,gasboiler,3,0,0,0,0,64
3,R1,gasboiler,4,0,0,0,0,77
4,R1,gasboiler,5,0,0,0,0,77
5,R1,gasboiler,6,0,0,0,0,77
6,R2,gasboiler,1,0,0,0,0,9
7,R2,gasboiler,2,0,0,0,0,5
8,R2,gasboiler,3,0,0,0,0,2
9,R2,gasboiler,4,0,0,0,0,3
10,R2,gasboiler,5,0,0,0,0,3
11,R2,gasboiler,6,0,0,0,0,3
12,R3,gasboiler,1,0,0,0,0,1943
13,R3,gasboiler,2,0,0,0,0,1166
14,R3,gasboiler,3,0,0,0,0,486
15,R3,gasboiler,4,0,0,0,0,583
16,R3,gasboiler,5,0,0,0,0,583
17,R3,gasboiler,6,0,0,0,0,583
