RegionName,Attribute,Time,electricity,gas,cook,heat,CO2f,wind
Unit,-,Year,GWh,PJ,PJ,PJ,kt,PJ
R1,Exports,2010,0,0,0,0,0,0
R1,Exports,2015,0,0,0,0,0,0
R1,Exports,2020,0,0,0,0,0,0
R1,Exports,2025,0,0,0,0,0,0
R1,Exports,2030,0,0,0,0,0,0
R1,Exports,2035,0,0,0,0,0,0
R1,Exports,2040,0,0,0,0,0,0
R1,Exports,2045,0,0,0,0,0,0
R1,Exports,2050,0,0,0,0,0,0
R1,Exports,2055,0,0,0,0,0,0
R1,Exports,2060,0,0,0,0,0,0
R1,Exports,2065,0,0,0,0,0,0
R1,Exports,2070,0,0,0,0,0,0
R1,Exports,2075,0,0,0,0,0,0
R1,Exports,2080,0,0,0,0,0,0
R1,Exports,2085,0,0,0,0,0,0
R1,Exports,2090,0,0,0,0,0,0
R1,Exports,2095,0,0,0,0,0,0
R1,Exports,2100,0,0,0,0,0,0
