technology,dst_region,region,agent,sector,type,year,capacity
gasboiler,R1,R1,A1,residential,newcapa,2020,10.00000000000
gasCCGT,R1,R1,A1,power,newcapa,2020,1.00000000000
gassupply1,R1,R1,A1,gas,newcapa,2020,15.00000000000
gasboiler,R1,R1,A1,residential,newcapa,2025,5.00000000000
heatpump,R1,R1,A1,residential,newcapa,2025,11.00000000000
gasCCGT,R1,R1,A1,power,newcapa,2025,1.00000000000
windturbine,R1,R1,A1,power,newcapa,2025,9.00000000000
gassupply1,R1,R1,A1,gas,newcapa,2025,15.00000000000
heatpump,R1,R1,A1,residential,newcapa,2030,11.00000000000
heatpump,R1,R1,A1,residential,newcapa,2030,6.00000000000
windturbine,R1,R1,A1,power,newcapa,2030,9.00000000000
windturbine,R1,R1,A1,power,newcapa,2030,8.00000000000
gassupply1,R1,R1,A1,gas,newcapa,2030,7.50000000000
heatpump,R1,R1,A1,residential,newcapa,2035,6.00000000000
heatpump,R1,R1,A1,residential,newcapa,2035,12.00000000000
windturbine,R1,R1,A1,power,newcapa,2035,9.00000000000
windturbine,R1,R1,A1,power,newcapa,2035,8.00000000000
windturbine,R1,R1,A1,power,newcapa,2035,1.00000000000
heatpump,R1,R1,A1,residential,newcapa,2040,12.00000000000
heatpump,R1,R1,A1,residential,newcapa,2040,6.00000000000
windturbine,R1,R1,A1,power,newcapa,2040,9.00000000000
windturbine,R1,R1,A1,power,newcapa,2040,8.00000000000
windturbine,R1,R1,A1,power,newcapa,2040,1.00000000000
heatpump,R1,R1,A1,residential,newcapa,2045,6.00000000000
heatpump,R1,R1,A1,residential,newcapa,2045,12.00000000000
windturbine,R1,R1,A1,power,newcapa,2045,9.00000000000
windturbine,R1,R1,A1,power,newcapa,2045,8.00000000000
windturbine,R1,R1,A1,power,newcapa,2045,1.00000000000
heatpump,R1,R1,A1,residential,newcapa,2050,12.00000000000
heatpump,R1,R1,A1,residential,newcapa,2050,7.00000000000
windturbine,R1,R1,A1,power,newcapa,2050,8.00000000000
windturbine,R1,R1,A1,power,newcapa,2050,1.00000000000
windturbine,R1,R1,A1,power,newcapa,2050,10.00000000000
