,commodity,region,technology,year,consumption
0,gas,R1,gasboiler,2025,0.77140000000
1,electricity,R1,heatpump,2025,0.16730000000
2,gas,R1,gasboiler,2030,0.28610000000
3,electricity,R1,heatpump,2030,0.16730000000
4,electricity,R1,heatpump,2030,0.20070000000
5,gas,R1,gasboiler,2025,1.15710000000
6,electricity,R1,heatpump,2025,0.25100000000
7,gas,R1,gasboiler,2030,0.42920000000
8,electricity,R1,heatpump,2030,0.25100000000
9,electricity,R1,heatpump,2030,0.30100000000
10,gas,R1,gasboiler,2025,0.77140000000
11,electricity,R1,heatpump,2025,0.16730000000
12,gas,R1,gasboiler,2030,0.28610000000
13,electricity,R1,heatpump,2030,0.16730000000
14,electricity,R1,heatpump,2030,0.20070000000
15,gas,R1,gasboiler,2025,1.15710000000
16,electricity,R1,heatpump,2025,0.25100000000
17,gas,R1,gasboiler,2030,0.42920000000
18,electricity,R1,heatpump,2030,0.25100000000
19,electricity,R1,heatpump,2030,0.30100000000
20,gas,R1,gasboiler,2025,2.31420000000
21,electricity,R1,heatpump,2025,0.50200000000
22,gas,R1,gasboiler,2030,0.85840000000
23,electricity,R1,heatpump,2030,0.50200000000
24,electricity,R1,heatpump,2030,0.60200000000
25,gas,R1,gasboiler,2025,1.54280000000
26,electricity,R1,heatpump,2025,0.33470000000
27,gas,R1,gasboiler,2030,0.57230000000
28,electricity,R1,heatpump,2030,0.33470000000
29,electricity,R1,heatpump,2030,0.40130000000
