,asset,year,region,installed,technology,capacity
26,2,2050,R1,2025,windturbine,1.12500000000
27,2,2054,R1,2025,windturbine,1.12500000000
38,3,2050,R1,2030,windturbine,1.66670000000
39,3,2054,R1,2030,windturbine,1.66670000000
40,3,2055,R1,2030,windturbine,1.66670000000
41,3,2059,R1,2030,windturbine,1.66670000000
50,4,2050,R1,2045,windturbine,9.74170000000
51,4,2054,R1,2045,windturbine,9.74170000000
52,4,2055,R1,2045,windturbine,9.74170000000
53,4,2059,R1,2045,windturbine,9.74170000000
54,4,2060,R1,2045,windturbine,9.74170000000
55,4,2070,R1,2045,windturbine,9.74170000000
56,4,2074,R1,2045,windturbine,9.74170000000
64,5,2055,R1,2050,windturbine,1.12500000000
65,5,2059,R1,2050,windturbine,1.12500000000
66,5,2060,R1,2050,windturbine,1.12500000000
67,5,2070,R1,2050,windturbine,1.12500000000
68,5,2074,R1,2050,windturbine,1.12500000000
69,5,2075,R1,2050,windturbine,1.12500000000
70,5,2079,R1,2050,windturbine,1.12500000000
