,asset,year,region,installed,technology,capacity
24,2,2060,R1,2045,windturbine,9.74170000000
25,2,2065,R1,2045,windturbine,9.74170000000
26,2,2070,R1,2045,windturbine,9.74170000000
27,2,2074,R1,2045,windturbine,9.74170000000
35,3,2060,R1,2050,windturbine,1.12500000000
36,3,2065,R1,2050,windturbine,1.12500000000
37,3,2070,R1,2050,windturbine,1.12500000000
38,3,2074,R1,2050,windturbine,1.12500000000
39,3,2075,R1,2050,windturbine,1.12500000000
40,3,2079,R1,2050,windturbine,1.12500000000
46,4,2060,R1,2055,windturbine,4.13330000000
47,4,2065,R1,2055,windturbine,4.13330000000
48,4,2070,R1,2055,windturbine,4.13330000000
49,4,2074,R1,2055,windturbine,4.13330000000
50,4,2075,R1,2055,windturbine,4.13330000000
51,4,2079,R1,2055,windturbine,4.13330000000
52,4,2080,R1,2055,windturbine,4.13330000000
53,4,2084,R1,2055,windturbine,4.13330000000
