ProcessName,RegionName,Time,month,day,hour,UtilizationFactor,MinimumServiceFactor
Unit,-,Year,-,-,-,-,-
gasCCGT,R1,2020,all-year,all-week,night,1,1
gasCCGT,R1,2020,all-year,all-week,morning,1,2
gasCCGT,R1,2020,all-year,all-week,afternoon,1,3
gasCCGT,R1,2020,all-year,all-week,early-peak,1,2
gasCCGT,R1,2020,all-year,all-week,late-peak,1,5
gasCCGT,R1,2020,all-year,all-week,evening,1,6
windturbine,R1,2020,all-year,all-week,night,1,1
windturbine,R1,2020,all-year,all-week,morning,0.5,1
windturbine,R1,2020,all-year,all-week,afternoon,0.5,1
windturbine,R1,2020,all-year,all-week,early-peak,1,1
windturbine,R1,2020,all-year,all-week,late-peak,1,1
windturbine,R1,2020,all-year,all-week,evening,1,1
